,"消費者物價基本分類指數"
,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類",
"111年1月","101.61","102.39","100.13","100.74","102.68","100.32","100.52","102.41",
"111年2月","101.60","102.90","98.75","100.76","103.16","100.48","101.50","100.83",
"111年3月","101.92","103.37","98.31","101.07","104.39","100.91","100.52","101.36",
"111年4月","102.70","104.43","105.89","101.30","104.16","100.92","101.04","101.54",
"111年5月","102.96","105.92","105.02","101.57","103.84","100.97","100.60","101.32",
"111年6月","103.35","106.85","103.14","102.98","103.52","101.17","100.62","101.17",
"111年7月","103.32","106.80","101.65","103.25","103.80","101.40","100.75","100.72",
"111年8月","103.24","106.50","100.12","103.48","103.56","101.47","100.60","101.12",
"111年9月","103.49","107.23","99.42","103.63","103.01","101.58","101.24","101.54",
"111年10月","103.77","107.42","107.05","102.64","103.12","101.84","101.86","101.35",
"111年11月","103.62","106.84","105.54","102.76","103.11","101.61","102.18","101.42",
"111年12月","103.78","107.27","103.55","102.88","103.14","101.93","102.78","101.69",
"112年1月","104.71","107.81","101.11","103.23","103.87","101.98","105.02","105.05",
"112年2月","104.06","107.34","99.96","103.22","103.73","102.38","103.60","102.88",
"112年3月","104.32","108.41","99.53","103.38","103.56","102.46","103.32","103.03",
"112年4月","105.11","108.82","105.16","103.66","104.14","102.77","104.36","103.72",
"112年5月","105.04","109.07","104.29","103.74","103.73","102.93","103.63","104.05",
"112年6月","105.16","108.33","103.08","105.03","103.86","102.93","104.12","103.95",
"112年7月","105.26","108.17","102.78","105.18","104.34","103.88","104.43","103.69",
"112年8月","105.85","110.17","101.16","105.32","105.37","103.83","104.32","103.67",
"112年9月","106.52","112.36","100.55","105.51","105.36","104.29","104.19","104.30",
"112年10月","106.92","113.34","108.80","104.54","104.80","104.44","104.99","103.66",
"112年11月","106.62","112.87","106.56","104.66","104.28","104.66","104.70","103.78",
"112年12月","106.58","112.33","105.79","104.75","104.08","104.73","105.23","104.32",
