PERIOD,統計期,總指數,一.食物類,二.衣著類,三.居住類,四.交通及通訊類,五.醫藥保健類,六.教養娛樂類,七.雜項類,...11
111年6月,111年6月,103.35,106.85,103.14,102.98,103.52,101.17,100.62,101.17,NA
111年7月,111年7月,103.32,106.8,101.65,103.25,103.8,101.4,100.75,100.72,NA
111年8月,111年8月,103.24,106.5,100.12,103.48,103.56,101.47,100.6,101.12,NA
111年9月,111年9月,103.49,107.23,99.42,103.63,103.01,101.58,101.24,101.54,NA
111年10月,111年10月,103.77,107.42,107.05,102.64,103.12,101.84,101.86,101.35,NA
111年11月,111年11月,103.62,106.84,105.54,102.76,103.11,101.61,102.18,101.42,NA
111年12月,111年12月,103.78,107.27,103.55,102.88,103.14,101.93,102.78,101.69,NA
112年1月,112年1月,104.71,107.81,101.11,103.23,103.87,101.98,105.02,105.05,NA
112年2月,112年2月,104.06,107.34,99.96,103.22,103.73,102.38,103.6,102.88,NA
112年3月,112年3月,104.32,108.41,99.53,103.38,103.56,102.46,103.32,103.03,NA
112年4月,112年4月,105.11,108.82,105.16,103.66,104.14,102.77,104.36,103.72,NA
112年5月,112年5月,105.04,109.07,104.29,103.74,103.73,102.93,103.63,104.05,NA
112年6月,112年6月,105.16,108.33,103.08,105.03,103.86,102.93,104.12,103.95,NA
112年7月,112年7月,105.26,108.17,102.78,105.18,104.34,103.88,104.43,103.69,NA
112年8月,112年8月,105.85,110.17,101.16,105.32,105.37,103.83,104.32,103.67,NA
112年9月,112年9月,106.52,112.36,100.55,105.51,105.36,104.29,104.19,104.3,NA
112年10月,112年10月,106.92,113.34,108.8,104.54,104.8,104.44,104.99,103.66,NA
112年11月,112年11月,106.62,112.87,106.56,104.66,104.28,104.66,104.7,103.78,NA
112年12月,112年12月,106.58,112.33,105.79,104.75,104.08,104.73,105.23,104.32,NA
113年1月,113年1月,106.59,112.24,103.59,105.03,104.43,105.13,104.96,104.75,NA
113年2月,113年2月,107.26,112.16,101.77,105.29,104.89,105.66,107.47,107.18,NA
113年3月,113年3月,106.56,111.51,101.11,105.38,104.9,105.73,105.28,105.4,NA
113年4月,113年4月,107.15,111.63,104.88,105.82,104.86,106.39,106,106.33,NA
113年5月,113年5月,107.38,112.78,104.06,106.14,104.67,106.48,105.25,106.58,NA
113年6月,113年6月,107.71,112.83,103.5,107.42,104.81,106.82,105.85,106.11,NA
113年7月,113年7月,107.92,113.13,102.81,107.61,105.26,107.28,106.38,105.87,NA
113年8月,113年8月,108.34,115.27,100.79,107.71,105.37,107.14,106.19,105.69,NA
113年9月,113年9月,108.46,115.73,100.72,108.03,104.66,107.01,106.03,106.18,NA
註解：,註解：,NA,NA,NA,NA,NA,NA,NA,NA,NA
由於受查者延誤或更正報價，最近3個月資料均可能修正。,由於受查者延誤或更正報價，最近3個月資料均可能修正。,NA,NA,NA,NA,NA,NA,NA,NA,NA
